,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
43,1923,-0.295,-0.83,-0.37,-0.08,-0.41,0.41,-0.31,-0.45499998,-0.25,-0.84999996,-0.39,-0.17999999
44,1924,-0.03,-0.19,0.65999997,0.35999998,-0.26,0.355,-0.14,-0.175,-0.45,-0.355,-0.5,-0.35999998
45,1925,-0.98999995,-1.245,-0.34,-0.11,-0.56,-0.41,-0.48499998,-0.125,-0.08,-0.095,-0.48,-0.46499997
46,1926,0.155,0.17,-0.81,-1.135,-0.34,0.565,0.24,0.049999997,-0.23499998,-0.25,-0.81499994,-0.26
47,1927,-0.13499999,-0.72499996,-1.48,-0.44,-0.51,-0.035,-0.08,-0.21,-0.13499999,-0.16499999,-0.475,0.02
48,1928,0.089999996,-0.07,-0.22,-0.16,0.14999999,-0.37,-0.125,-0.049999997,0.01,-0.12,-0.125,-0.11
49,1929,-0.044999998,-0.735,0.26999998,-0.21,0.245,-0.26,-0.26999998,-0.39,0.04,-0.41,-0.315,-0.445
50,1930,-0.53499997,-0.51,-0.25,-0.45,-0.21,-0.28,-0.305,-0.22,-0.089999996,-0.095,-0.35,-0.26999998
51,1931,0.79999995,-0.08,-0.255,0.68,0.099999994,0.505,-0.049999997,0.44,-0.099999994,-0.26,-0.52,-0.06
52,1932,0.59,-0.85999995,-0.22,-0.25,-0.365,0.215,-0.049999997,-0.175,0.015,0.11,-0.13,-0.25
53,1933,-0.445,-0.02,-0.245,-0.71,-0.69,-0.48999998,-0.089999996,-0.32,-0.31,-0.435,-0.37,-0.23499998
54,1934,-0.58,-0.32999998,-0.64,-0.21,-0.29,-0.38,-0.22,-0.22,-0.099999994,-0.51,-0.92499995,-0.315
55,1935,-0.63,-0.19,-0.175,-0.735,0.19,0.01,-0.14,-0.285,-0.29,-0.089999996,-0.22999999,-0.16499999
56,1936,-0.56,-0.265,-0.35999998,-0.19999999,-0.105,-0.7,-0.28,-0.099999994,-0.02,-0.22,0.015,0.015
57,1937,-0.635,-0.07,-0.62,-0.39999998,-0.04,0.24,-0.17999999,0.02,0.12,-0.25,-0.22,-0.51
