,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1900,-0.6088333,-0.35516664,1.2941666,-0.9285,-0.3425,0.67516667,0.78533334,0.036166668,-0.8683333,-1.6108334,0.4798333,-0.18266667
1,1901,-1.6666666,-2.1223333,-0.47616667,-0.85716665,-0.24,0.69516665,0.68249995,-0.225,-0.19549999,0.724,0.029000001,-0.1145
2,1902,1.0481666,0.4755,1.325,0.14116666,0.24716666,-0.41583332,-0.004,0.45749998,-0.51233333,-0.67466664,-0.6765,-1.1931666
3,1903,-0.4405,-1.405,-2.0613332,-1.5408332,-0.64766663,0.8053333,1.129,-0.30916664,-0.009333333,-0.55249995,-1.2936667,-1.173
4,1904,-0.5235,-0.15966667,-1.2013334,0.39299998,-0.33983332,-0.42883334,-0.7065,-0.5245,-0.536,-0.5581666,-0.911,-0.39749998
5,1905,-1.8806666,-5.7025,-3.6239998,-2.6601667,0.7238333,0.58199996,0.114333324,0.57900006,-0.023333333,-0.21433333,0.3335,-0.7721666
6,1906,-1.4683334,-2.4186666,-2.3396666,-0.6498333,1.3985,-0.7768333,0.0375,-0.17016667,-0.80266666,-0.32116663,0.4445,0.3335
7,1907,1.384,-2.1325,-3.0238333,-2.1969998,-1.4843333,-0.63,1.2328334,-0.6678333,0.071666665,-0.018666666,0.3823333,-1.0884999
8,1908,-0.126,-0.39966667,-0.9851666,0.7345,0.008166667,0.46199998,-0.7306667,-1.0473332,-0.71733326,-0.8991667,-0.9941666,-1.2409999
9,1909,-0.7966667,-1.4098333,-0.20266667,-1.6116666,-0.4883333,-1.3019999,-1.0821667,-0.5566666,-0.9548333,-0.62733334,0.4363333,-0.91966665
10,1910,-0.4635,-0.5828333,-0.7313333,-1.1976666,0.036000002,-1.1001666,-0.8516666,-0.4953333,-0.3455,-1.1543332,-1.4,-1.1011666
11,1911,0.6295,-0.68549997,-2.7721667,-0.90900004,0.8501667,-0.75116664,1.2835,0.54366666,-0.5398333,-0.05633333,-1.9541667,-0.8698333
12,1912,0.4175,0.58349997,-1.2128333,-0.6305,0.15366666,0.7168333,0.23066667,-0.4976667,-1.1538333,-0.5498333,-1.4491667,-0.95183337
13,1913,0.014666665,-0.87733334,-2.8701665,0.3778333,-1.1941665,-1.8736666,-0.6683333,-0.31166664,-0.15866666,0.08133333,-0.9025,-1.0941666
14,1914,1.2576667,-1.0686666,-1.5778333,-1.0043333,0.03333333,-0.48783335,-0.59949994,-0.44633332,-0.25083333,-1.3956666,0.030833332,-1.2538333
15,1915,-0.28149998,-1.8774999,-0.7443333,-0.628,1.3923334,0.25133333,0.9926666,0.40850002,0.71949995,0.75233334,0.13216667,-0.45466664
16,1916,0.4525,-1.2746665,1.4435,0.608,-0.23283333,-1.4708333,-0.33449998,-0.5668333,-0.5158333,-0.708,-1.7383332,-1.4366666
17,1917,0.093833335,-0.27866665,-1.3373333,-2.7664998,-3.5776668,-1.4726665,-0.8668333,-0.7266666,-1.308,-1.5588334,-2.2065,-0.96699995
18,1918,-1.5401666,-0.19416666,-1.0841666,-2.3279998,1.0128334,-1.3721665,0.98249996,0.41166666,-0.13016666,-0.25383332,-0.4165,-1.4873333
19,1919,-0.30249998,-1.262,-0.5081666,-1.2929999,-0.60749996,0.35833332,-0.43066666,-0.49416667,-0.7433333,-0.8613333,-0.7245,-1.2578334
20,1920,0.046666667,-1.2946666,-0.88549995,-0.99616665,-2.7871666,-1.1833333,-0.51199996,-0.37016666,0.3726667,0.5523333,0.46033332,-0.11583333
21,1921,0.3183333,-0.226,1.7726667,1.791,1.8168333,-0.293,0.7308333,-0.7211667,-0.79249996,-1.3379999,-0.8516666,0.47633332
22,1922,-0.70483327,0.39933333,0.26566666,0.15633334,0.116166666,-0.97099996,-0.08799999,-0.4355,-0.86800003,-1.2801666,-0.9073333,-1.1421666
23,1923,-0.3505,-1.5683333,-0.32066667,0.35799998,-0.50866663,1.2048334,-0.24633333,-0.8566666,-0.45483333,-1.3833333,-1.0298333,-0.47716665
24,1924,-0.7213333,-0.5795,0.8233333,0.355,-2.0713332,0.9355,0.31,-0.1325,-1.1726665,-0.84216666,-1.1856667,-0.25816667
25,1925,-1.7413332,-2.178,0.077,1.291,-0.49166667,-1.7836666,-1.0873333,-0.0048333337,0.25566667,0.27099997,-1.0558333,-0.57916665
26,1926,0.38133332,1.0923333,-1.5594999,-2.9555001,-1.6258333,1.3449999,0.775,-0.033666667,-0.5556667,-0.80799997,-2.2636669,-0.906
27,1927,-1.0956666,-1.956,-1.6966666,-0.835,-0.734,-0.08033333,-0.013166666,-0.51483333,-0.19533332,-0.17766666,-0.9064999,0.39316666
28,1928,-0.26066667,-0.12916666,-0.28966665,-0.34766665,1.1533333,-0.4945,0.10966667,0.5255,0.047666665,0.36683333,-0.06566667,-0.87049997
29,1929,-0.45849997,-1.5728333,1.2976667,0.5305,0.9306667,-0.24933334,-0.33816668,-0.7098333,0.28716666,-0.71216667,-0.007333333,-1.8744999
30,1930,-0.8248333,-0.8513333,0.07283333,-0.9706667,-0.0605,-0.518,-0.9306667,-0.22266667,0.144,0.11266666,-0.87049997,-0.29666665
31,1931,1.2836666,-2.1023333,-0.7815,1.1389999,0.059833333,0.4455,-0.0255,0.61066663,-0.25883332,-0.453,-0.48033333,-0.015833333
32,1932,1.7748333,-0.904,0.04533333,-0.025999999,-0.5643333,0.7828333,0.3115,-0.38516665,0.34666666,-0.23883334,-0.45999998,-0.50416666
33,1933,-1.3636667,-0.06083333,-0.6198333,-1.8805,-1.5733333,-0.44433329,-0.09833333,-1.0375,-0.85816664,-0.68299997,-0.30049998,0.4165
34,1934,-1.898,1.3616666,-1.1753333,-0.15933332,-0.7726667,-0.439,-0.19316667,-0.40649998,0.161,-1.1093333,-0.7565,0.3235
35,1935,-1.7456666,-0.20499998,-0.28466666,-3.0096667,0.09633333,0.19016667,-0.15300001,-0.51566666,-0.3585,-0.949,-0.08916666,-0.47599998
36,1936,-1.1046666,-0.010999999,-1.2186666,-0.78699994,1.8758333,-1.5383334,-0.5108333,-0.17016667,-0.09983333,-0.16166666,-0.41416663,-0.6183333
37,1937,-0.77383333,-0.21716666,-1.8641666,-1.6018332,0.16116667,0.47016665,-0.29066664,0.564,0.13633333,-1.0978334,-0.53683335,-1.5278333
